feature,coverage,n_valid,best_bucket,mean_gross,mean_net,med_gross,med_net,pct_pos_net,tercile_diff,ci_mean_lo,ci_mean_hi,ci_med_lo,ci_med_hi,outlier_count,top1_share,top3_share,rec
median_pool_r_m5,1.0,2193,top,0.014059064295485637,0.008932469220246238,0.000604,-0.004636,0.34062927496580025,0.958128025991792,-0.0012152010943912443,0.01970784268125855,-0.005516999999999999,-0.0034839999999999997,16,0.012492048725450398,0.0374761461763512,SKIP
breadth_positive_pct,1.0,2193,top,0.014230740082079344,0.009102599179206566,0.001071,-0.003998,0.35294117647058826,0.9598079904240766,-0.0008702284541723663,0.01926689876880985,-0.005228,-0.0031060000000000003,16,0.012642522639459967,0.0379275679183799,SKIP
impact_buy_pct,1.0,2193,mid,0.003173127222982216,-0.0019018413132694937,0.000167,-0.004858,0.36388508891928867,-0.008954549931600546,-0.009544882352941176,0.00573180437756498,-0.005678,-0.0037400000000000003,20,0.008634847066845471,0.025904541200536417,SKIP
impact_sell_pct,1.0,2193,mid,0.0031801997264021887,-0.0018947701778385772,0.000337,-0.004687,0.36388508891928867,-0.008947477428180573,-0.009653844049247606,0.005682255813953489,-0.005640999999999999,-0.003706,20,0.00863626238734857,0.025908787162045713,SKIP
round_trip_pct,1.0,2193,mid,0.0023390547195622437,-0.0027359179206566347,0.0,-0.005024,0.36114911080711354,-0.008151199726402188,-0.01043903146374829,0.005023671682626539,-0.005768,-0.00383,20,0.008609155812736129,0.02582746743820839,SKIP
liquidity_usd,1.0,2193,mid,0.00440237756497948,-0.0006718002735978117,0.0,-0.005011,0.3625170998632011,0.004516227086183311,-0.007978242134062927,0.006754056087551298,-0.005768,-0.0038379999999999994,12,0.008732773178449681,0.026198319535349044,SKIP
pool_dispersion_r_m5,1.0,2193,bot,0.002443537619699043,-0.002677376196990424,-0.000341,-0.005383,0.3009575923392613,-0.45997810123119015,-0.012397008207934336,0.00731643365253078,-0.006131,-0.005088,14,0.013364932851509663,0.04009479855452899,SKIP
vol_h1,1.0,2193,mid,-0.007162715458276334,-0.012297883720930233,-0.000251,-0.0053609999999999994,0.3337893296853625,0.002974673050615595,-0.020605522571819426,-0.00401673050615595,-0.006540000000000001,-0.00443,21,0.008860431370286179,0.02658129411085854,SKIP
age_hours,1.0,2193,bot,-0.007580683994528044,-0.012814436388508892,-0.008273,-0.013431000000000002,0.4213406292749658,-0.9204673255813953,-0.029931614227086182,0.004499299589603285,-0.019549,-0.005205,14,0.009133780303364822,0.027401340910094468,SKIP
jup_vs_cpamm_diff_pct,0.9995440036479708,2192,mid,0.005647973972602739,0.0005641643835616438,0.0002815,-0.0047285,0.4,0.4512054499887716,-0.008550823287671233,0.009747554794520547,-0.0055045,-0.0030239999999999998,16,0.008706132717380678,0.026118398152142033,SKIP
r_m5,0.7724578203374373,1694,top,0.05333,0.0481482667844523,0.0195625,0.014401,0.5424028268551236,1.3032318742889006,0.03126000530035336,0.06529736219081271,0.0011210000000000005,0.023704000000000003,13,0.014696303819479105,0.04408891145843731,CANDIDATE
vol_accel_m5_vs_h1,0.7724578203374373,1694,top,0.02273950883392226,0.01761305477031802,0.0009130000000000001,-0.004201999999999999,0.43109540636042404,0.6383625635917097,0.004359139575971731,0.03184591166077738,-0.006004,-0.0018235000000000003,10,0.012280985321801814,0.03684295596540545,SKIP
txn_accel_m5_vs_h1,0.7724578203374373,1694,top,0.01222756183745583,0.007103501766784453,0.0,-0.005137,0.3992932862190813,1.2238019649149188,-0.007181217314487633,0.021756072438162542,-0.007795,-0.0028889999999999996,9,0.015257874700370941,0.045773624101112825,SKIP
liq_change_pct,0.7724578203374373,1694,top,0.016580519434628977,0.01145471731448763,0.0008575,-0.0041375000000000006,0.43286219081272087,1.2383953334147808,-0.004813487632508834,0.029060865724381622,-0.006319999999999999,-0.0020889999999999997,10,0.01622931470527957,0.048687944115838704,SKIP
avg_trade_usd_m5,0.7013223894208847,1538,top,0.020675130350194554,0.015594871595330738,0.001143,-0.0038519999999999995,0.41050583657587547,0.038411468537208115,0.0032900194552529178,0.028328575875486383,-0.005561,-0.0019370000000000004,11,0.017555473572051193,0.05266642071615358,SKIP
buy_sell_ratio_m5,0.7013223894208847,1538,top,0.013733215953307391,0.008588964980544744,0.0,-0.00529,0.38132295719844356,1.3454823938624756,-0.0061376128404669284,0.023817017509727624,-0.007773,-0.004524,9,0.022204480604035313,0.06661344181210595,SKIP
signed_flow_m5,0.7013223894208847,1538,top,0.013733215953307391,0.008588964980544744,0.0,-0.00529,0.38132295719844356,1.3454823938624756,-0.005697712062256811,0.024015955252918286,-0.0077935,-0.004524,9,0.022204480604035313,0.06661344181210595,SKIP
