symbol,recon_date,entry_date,entry_price,exit_date,exit_price,exit_type,hold_days,gross_return,toxic_type,conditions_met,exit_struct,label,net_optimistic,net_base,net_conservative,net_stress,net_base_fund_low,net_base_fund_base,net_base_fund_high,net_base_fund_extreme
PYTH-USD,2024-04-30,2024-05-01,0.5173479914665222,2024-05-05,0.5690827906131745,SL,4,-0.10000000000000005,strict,4,S1,primary,-0.10165753424657539,-0.1036575342465754,-0.1066575342465754,-0.11265753424657539,-0.10332876712328772,-0.1036575342465754,-0.10409589041095896,-0.10519178082191785
ACT-USD,2024-05-31,2024-06-01,0.0008019999950192869,2024-06-04,0.0006816999957663938,TP,3,0.15,strict,4,S1,primary,0.1485068493150685,0.1465068493150685,0.1435068493150685,0.13750684931506849,0.14675342465753424,0.1465068493150685,0.1461780821917808,0.14535616438356164
CLOUD-USD,2024-06-30,2024-07-01,0.00010299999848939478,2024-07-04,0.00010299999848939478,MAXHOLD,3,0.0,strict,4,S1,primary,-0.0014931506849315069,-0.003493150684931507,-0.006493150684931507,-0.012493150684931507,-0.0032465753424657535,-0.003493150684931507,-0.0038219178082191784,-0.004643835616438357
TRUMP-USD,2024-07-31,2024-08-01,0.002865999937057495,2024-08-03,0.0024360999464988708,TP,2,0.15000000000000002,strict,4,S1,primary,0.14867123287671236,0.14667123287671235,0.14367123287671235,0.13767123287671235,0.1468356164383562,0.14667123287671235,0.14645205479452056,0.14590410958904113
TNSR-USD,2024-08-31,2024-09-01,0.3086189925670624,2024-09-08,0.3394808918237686,SL,7,-0.1,strict,4,S1,primary,-0.10215068493150685,-0.10415068493150685,-0.10715068493150685,-0.11315068493150685,-0.10357534246575344,-0.10415068493150685,-0.1049178082191781,-0.10683561643835618
W-USD,2024-10-31,2024-11-01,0.2226410061120987,2024-11-07,0.2449051067233086,SL,6,-0.10000000000000013,strict,4,S1,primary,-0.10198630136986314,-0.10398630136986314,-0.10698630136986315,-0.11298630136986314,-0.10349315068493165,-0.10398630136986314,-0.10464383561643849,-0.10628767123287684
ACT-USD,2024-10-31,2024-11-01,0.0008319999906234443,2024-11-06,0.0009151999896857888,SL,5,-0.1000000000000001,strict,4,S1,primary,-0.10182191780821928,-0.10382191780821928,-0.10682191780821929,-0.11282191780821928,-0.1034109589041097,-0.10382191780821928,-0.10436986301369873,-0.10573972602739737
TNSR-USD,2024-12-31,2025-01-01,0.43421000242233276,2025-01-03,0.4776310026645661,SL,2,-0.10000000000000013,strict,4,S1,primary,-0.1013287671232878,-0.1033287671232878,-0.1063287671232878,-0.11232876712328779,-0.10316438356164397,-0.1033287671232878,-0.10354794520547958,-0.10409589041095904
CHILLGUY-USD,2024-12-31,2025-01-01,0.15807700157165527,2025-01-02,0.1738847017288208,SL,1,-0.10000000000000007,strict,4,S1,primary,-0.10116438356164391,-0.10316438356164391,-0.10616438356164391,-0.1121643835616439,-0.103082191780822,-0.10316438356164391,-0.10327397260273981,-0.10354794520547952
PNUT-USD,2024-12-31,2025-01-01,0.6710609793663025,2025-01-03,0.7381670773029329,SL,2,-0.10000000000000017,strict,4,S1,primary,-0.10132876712328784,-0.10332876712328784,-0.10632876712328784,-0.11232876712328783,-0.10316438356164401,-0.10332876712328784,-0.10354794520547962,-0.10409589041095908
